date,quantity
2022-01,230.3
2022-02,181.2
2022-03,220.2
2022-04,285.9
2022-05,318.1
2022-06,310.1
2022-07,302.5
2022-08,291.0
2022-09,245.6
2022-10,258.4
2022-11,260.2
2022-12,306.7
2023-01,294.3
2023-02,247.1
2023-03,329.7
2023-04,328.4
2023-05,335.7
2023-06,383.4
2023-07,396.9
2023-08,387.9
2023-09,324.8
2023-10,330.7
2023-11,344.0
2023-12,364.3
2024-01,329.6
2024-02,354.4
2024-03,346.8
2024-04,364.1
2024-05,440.4
2024-06,465.7
2024-07,423.8
2024-08,450.1
2024-09,420.8
2024-10,380.6
2024-11,404.9
2024-12,441.1
